Date,volume,today,lag1,lag2,lag3,lag4,lag5,vol_lag1,vol_lag2,vol_lag3,vol_lag4,vol_lag5
2016-01-11,92547600.0,-0.0024640769213364,-0.0130773278268947,-0.0229263240871316,-0.0093190251931348,0.0025924377334094,-0.042778452780939,98631100.0,128029000.0,90465700.0,84894800.0,119844300.0
2016-01-12,99681300.0,0.0163214480804092,-0.0024640769213364,-0.0130773278268947,-0.0229263240871316,-0.0093190251931348,0.0025924377334094,92547600.0,98631100.0,128029000.0,90465700.0,84894800.0
2016-01-13,93643400.0,-0.0024505432179254,0.0163214480804092,-0.0024640769213364,-0.0130773278268947,-0.0229263240871316,-0.0093190251931348,99681300.0,92547600.0,98631100.0,128029000.0,90465700.0
2016-01-14,137020800.0,-0.0167413348364929,-0.0024505432179254,0.0163214480804092,-0.0024640769213364,-0.0130773278268947,-0.0229263240871316,93643400.0,99681300.0,92547600.0,98631100.0,128029000.0
2016-01-15,142005800.0,-0.0254161298568391,-0.0167413348364929,-0.0024505432179254,0.0163214480804092,-0.0024640769213364,-0.0130773278268947,137020800.0,93643400.0,99681300.0,92547600.0,98631100.0
2016-01-18,91275200.0,-0.0024535631942019,-0.0254161298568391,-0.0167413348364929,-0.0024505432179254,0.0163214480804092,-0.0024640769213364,142005800.0,137020800.0,93643400.0,99681300.0,92547600.0
2016-01-19,102829600.0,0.0149509137243084,-0.0024535631942019,-0.0254161298568391,-0.0167413348364929,-0.0024505432179254,0.0163214480804092,91275200.0,142005800.0,137020800.0,93643400.0,99681300.0
2016-01-20,138206200.0,-0.0282040967756247,0.0149509137243084,-0.0024535631942019,-0.0254161298568391,-0.0167413348364929,-0.0024505432179254,102829600.0,91275200.0,142005800.0,137020800.0,93643400.0
2016-01-21,147730300.0,0.019434360222591,-0.0282040967756247,0.0149509137243084,-0.0024535631942019,-0.0254161298568391,-0.0167413348364929,138206200.0,102829600.0,91275200.0,142005800.0,137020800.0
2016-01-22,127518300.0,0.0199202565961338,0.019434360222591,-0.0282040967756247,0.0149509137243084,-0.0024535631942019,-0.0254161298568391,147730300.0,138206200.0,102829600.0,91275200.0,142005800.0
2016-01-25,94406900.0,-0.0029421244648402,0.0199202565961338,0.019434360222591,-0.0282040967756247,0.0149509137243084,-0.0024535631942019,127518300.0,147730300.0,138206200.0,102829600.0,91275200.0
2016-01-26,113632600.0,0.0088946457811551,-0.0029421244648402,0.0199202565961338,0.019434360222591,-0.0282040967756247,0.0149509137243084,94406900.0,127518300.0,147730300.0,138206200.0,102829600.0
